symbol,NOVA_RSI2_OS,NOVA_SMA_TREND,NOVA_SMA_PULL,net,trades,win_pct,pf
ETHUSDT,5,100,3,-58.90951997391099,1702,37.78,0.4207463529027238
ETHUSDT,5,100,5,-58.90951997391099,1702,37.78,0.4207463529027238
ETHUSDT,5,100,10,-58.90951997391099,1702,37.78,0.4207463529027238
ETHUSDT,5,200,3,-72.5684208295041,2126,37.58,0.42655335201124545
ETHUSDT,5,200,5,-72.5684208295041,2126,37.58,0.42655335201124545
ETHUSDT,5,200,10,-72.5684208295041,2126,37.58,0.42655335201124545
ETHUSDT,10,100,3,-130.6779399097253,3751,37.35,0.4199811856219894
ETHUSDT,10,100,5,-130.673629209825,3751,37.35,0.4199892213593913
ETHUSDT,10,100,10,-130.3828381860475,3742,37.33,0.41987317084995907
ETHUSDT,10,200,3,-155.69140739622384,4400,36.68,0.41261755423408025
ETHUSDT,10,200,5,-155.68709669632358,4400,36.68,0.41262426479574754
ETHUSDT,10,200,10,-155.13263443135205,4394,36.71,0.4133475419380904
ETHUSDT,15,100,3,-207.38780942509894,5759,36.43,0.4075383607230029
ETHUSDT,15,100,5,-207.73878271347402,5762,36.41,0.40713015006306363
ETHUSDT,15,100,10,-204.95182232603716,5685,36.48,0.4069199139760199
ETHUSDT,15,200,3,-233.74408766594954,6516,36.31,0.4085106404755726
ETHUSDT,15,200,5,-233.9175851299366,6519,36.31,0.40842695790910993
ETHUSDT,15,200,10,-232.3350130515168,6455,36.3,0.40656314698697615
