symbol,NOVA_EXIT,NOVA_TRIG,NOVA_LOCK,net,trades,win_pct,pf
GRAMUSDT,std,0.0025,0.0015,-3259.3835030383543,1107,22.49,0.45133832034549304
GRAMUSDT,std,0.0025,0.0045,-3259.3835030383543,1107,22.49,0.45133832034549304
GRAMUSDT,std,0.004,0.0015,-3259.3835030383543,1107,22.49,0.45133832034549304
GRAMUSDT,std,0.004,0.0045,-3259.3835030383543,1107,22.49,0.45133832034549304
GRAMUSDT,std,0.005,0.0015,-3259.3835030383543,1107,22.49,0.45133832034549304
GRAMUSDT,std,0.005,0.0045,-3259.3835030383543,1107,22.49,0.45133832034549304
GRAMUSDT,dual,0.0025,0.0015,-2599.3419480534385,1147,48.56,0.31026861633978986
GRAMUSDT,dual,0.0025,0.0045,-1708.4933411130692,1153,48.74,0.5477096041616933
GRAMUSDT,dual,0.004,0.0015,-2499.8452306091144,1121,41.03,0.41353973490822526
GRAMUSDT,dual,0.004,0.0045,-2245.116767128765,1124,41.19,0.47278597087578444
GRAMUSDT,dual,0.005,0.0015,-2639.1462408880134,1119,36.64,0.4277952024446011
GRAMUSDT,dual,0.005,0.0045,-2533.412646626937,1119,36.64,0.4507197637900946
